Customer_ID,Purchase_Date,Product_Category,Amount,City,Payment_Method
C0062,2025-01-15,Sports,353.71,Delhi,Cash
C0136,2025-01-15,Home,2541.44,Pune,UPI
C0066,2025-01-16,Electronics,848.82,Thane,UPI
C0194,2025-01-16,Home,2590.76,Pune,UPI
C0090,2025-01-17,Clothing,949.28,Bengaluru,Credit Card
C0128,2025-01-17,Clothing,1617.36,Aurangabad,Debit Card
C0152,2025-01-17,Clothing,1729.34,Delhi,UPI
C0035,2025-01-17,Electronics,3027.33,Pune,UPI
C0099,2025-01-17,Electronics,4332.01,Nagpur,UPI
C0129,2025-01-18,Home,7568.35,Nashik,Debit Card
C0087,2025-01-19,Beauty,3172.83,Nashik,UPI
C0195,2025-01-19,Home,4627.14,Nagpur,UPI
C0048,2025-01-20,Sports,857.9,Thane,Cash
C0182,2025-01-20,Beauty,616.88,Mumbai,UPI
C0081,2025-01-21,Clothing,907.61,Thane,Credit Card
C0056,2025-01-21,Home,4530.78,Nashik,Credit Card
C0140,2025-01-21,Electronics,1279.24,Nashik,Debit Card
C0037,2025-01-22,Beauty,641.98,Nashik,Credit Card
C0111,2025-01-22,Electronics,5144.02,Delhi,UPI
C0185,2025-01-22,Electronics,2299.68,Bengaluru,UPI
C0024,2025-01-23,Clothing,2215.09,Bengaluru,UPI
C0015,2025-01-23,Clothing,958.18,Aurangabad,Credit Card
C0060,2025-01-24,Beauty,930.43,Delhi,Debit Card
C0172,2025-01-25,Electronics,2460.49,Mumbai,Debit Card
C0200,2025-01-25,Clothing,3627.22,Mumbai,UPI
C0109,2025-01-26,Electronics,1049.18,Aurangabad,UPI
C0015,2025-01-26,Beauty,1455.41,Delhi,Net Banking
C0076,2025-01-27,Clothing,2169.56,Aurangabad,Net Banking
C0054,2025-01-27,Home,1549.33,Nagpur,UPI
C0105,2025-01-28,Beauty,1520.35,Bengaluru,Net Banking
C0160,2025-01-29,Electronics,964.58,Pune,Credit Card
C0062,2025-01-29,Sports,1915.99,Aurangabad,UPI
C0049,2025-01-29,Sports,5551.37,Mumbai,UPI
C0164,2025-01-29,Clothing,2525.9,Nagpur,UPI
C0135,2025-01-29,Electronics,3701.99,Bengaluru,Net Banking
C0161,2025-01-31,Clothing,1325.39,Aurangabad,UPI
C0113,2025-02-01,Home,5629.16,Delhi,Credit Card
C0084,2025-02-02,Electronics,826.32,Aurangabad,Debit Card
C0146,2025-02-03,Electronics,3745.62,Delhi,Debit Card
C0008,2025-02-04,Clothing,1591.23,Nashik,UPI
C0050,2025-02-04,Home,923.66,Nagpur,Credit Card
C0185,2025-02-05,Beauty,1531.58,Mumbai,Credit Card
C0101,2025-02-06,Electronics,1765.44,Bengaluru,Cash
C0010,2025-02-06,Clothing,2546.49,Thane,Debit Card
C0039,2025-02-07,Clothing,868.67,Thane,Credit Card
C0115,2025-02-08,Electronics,934.07,Delhi,Cash
C0008,2025-02-08,Sports,740.63,Nashik,Credit Card
C0158,2025-02-08,Clothing,2041.47,Nashik,UPI
C0009,2025-02-08,Beauty,4038.71,Thane,Cash
C0045,2025-02-08,Beauty,2114.93,Bengaluru,UPI
C0086,2025-02-08,Beauty,1519.8,Aurangabad,Cash
C0166,2025-02-08,Clothing,640.46,Nagpur,UPI
C0034,2025-02-09,Electronics,3908.95,Nashik,UPI
C0004,2025-02-09,Electronics,1132.56,Bengaluru,UPI
C0016,2025-02-09,Sports,1639.14,Aurangabad,UPI
C0094,2025-02-09,Home,676.11,Mumbai,Credit Card
C0088,2025-02-09,Home,3044.24,Thane,Credit Card
C0093,2025-02-10,Home,3431.48,Aurangabad,UPI
C0017,2025-02-11,Electronics,3557.89,Thane,UPI
C0015,2025-02-11,Electronics,2608.33,Aurangabad,Debit Card
C0099,2025-02-11,Electronics,1622.45,Nagpur,UPI
C0056,2025-02-12,Beauty,7982.51,Mumbai,Debit Card
C0095,2025-02-13,Home,545.65,Aurangabad,UPI
C0019,2025-02-15,Beauty,2117.68,Bengaluru,UPI
C0008,2025-02-15,Electronics,2238.68,Thane,UPI
C0096,2025-02-16,Home,3857.95,Aurangabad,UPI
C0104,2025-02-16,Beauty,1013.93,Nashik,UPI
C0086,2025-02-16,Clothing,1862.73,Nashik,UPI
C0111,2025-02-18,Beauty,204.53,Delhi,Debit Card
C0118,2025-02-18,Home,1186.82,Aurangabad,Credit Card
C0013,2025-02-20,Electronics,1023.39,Nagpur,UPI
C0099,2025-02-20,Clothing,3466.98,Aurangabad,Credit Card
C0093,2025-02-20,Home,3387.59,Pune,UPI
C0002,2025-02-22,Clothing,388.77,Thane,UPI
C0151,2025-02-22,Beauty,2630.14,Thane,UPI
C0034,2025-02-23,Electronics,1215.68,Pune,UPI
C0124,2025-02-23,Beauty,4919.59,Nashik,UPI
C0068,2025-02-24,Clothing,2937.62,Nashik,Credit Card
C0038,2025-02-24,Beauty,2370.7,Thane,Net Banking
C0158,2025-02-24,Home,5952.24,Nashik,Credit Card
C0117,2025-02-28,Electronics,1613.92,Mumbai,Debit Card
C0054,2025-02-28,Home,2235.29,Aurangabad,Credit Card
C0160,2025-02-28,Electronics,2774.79,Thane,Credit Card
C0133,2025-03-01,Home,1964.51,Aurangabad,UPI
C0049,2025-03-02,Electronics,568.83,Aurangabad,Credit Card
C0013,2025-03-02,Electronics,1250.4,Nagpur,Credit Card
C0120,2025-03-03,Electronics,5671.13,Delhi,UPI
C0016,2025-03-03,Beauty,900.07,Aurangabad,UPI
C0186,2025-03-04,Home,1914.07,Bengaluru,Credit Card
C0172,2025-03-04,Clothing,1429.01,Bengaluru,UPI
C0136,2025-03-05,Home,4188.37,Pune,Debit Card
C0021,2025-03-06,Clothing,1440.75,Nashik,Cash
C0099,2025-03-07,Electronics,2028.65,Nashik,UPI
C0005,2025-03-10,Beauty,2102.89,Aurangabad,UPI
C0080,2025-03-10,Beauty,2394.07,Nagpur,UPI
C0109,2025-03-10,Beauty,2309.56,Thane,Net Banking
C0109,2025-03-13,Beauty,3062.07,Nagpur,UPI
C0147,2025-03-14,Electronics,2737.1,Pune,Credit Card
C0153,2025-03-14,Sports,858.11,Mumbai,UPI
C0129,2025-03-16,Sports,1467.57,Delhi,Credit Card
C0161,2025-03-16,Clothing,2863.37,Nashik,UPI
C0128,2025-03-16,Home,5354.64,Nashik,UPI
C0104,2025-03-16,Beauty,3060.56,Nagpur,UPI
C0005,2025-03-17,Electronics,1345.17,Thane,Debit Card
C0147,2025-03-19,Home,3313.09,Delhi,Cash
C0190,2025-03-19,Beauty,3847.84,Bengaluru,Debit Card
C0112,2025-03-20,Electronics,1059.9,Bengaluru,UPI
C0018,2025-03-22,Beauty,1958.64,Bengaluru,UPI
C0178,2025-03-23,Home,325.03,Thane,Credit Card
C0012,2025-03-23,Sports,1104.45,Pune,Cash
C0173,2025-03-25,Clothing,822.9,Delhi,UPI
C0118,2025-03-25,Home,3346.57,Pune,UPI
C0160,2025-03-25,Clothing,1656.89,Delhi,Credit Card
C0177,2025-03-25,Electronics,749.69,Nashik,Cash
C0083,2025-03-25,Electronics,1224.97,Bengaluru,UPI
C0017,2025-03-25,Electronics,1952.3,Nagpur,Debit Card
C0180,2025-03-25,Beauty,729.43,Aurangabad,Debit Card
C0090,2025-03-26,Home,3751.78,Mumbai,UPI
C0082,2025-03-26,Sports,4659.45,Nashik,UPI
C0132,2025-03-27,Electronics,2658.49,Thane,UPI
C0155,2025-03-27,Electronics,2600.31,Aurangabad,Net Banking
C0195,2025-03-27,Clothing,655.27,Delhi,Credit Card
C0145,2025-03-28,Home,2316.44,Aurangabad,UPI
C0159,2025-03-28,Electronics,3719.11,Bengaluru,Credit Card
C0167,2025-03-29,Electronics,3445.3,Delhi,UPI
C0164,2025-03-29,Electronics,4617.13,Aurangabad,Cash
C0093,2025-03-30,Clothing,2942.53,Nashik,Credit Card
C0174,2025-03-30,Clothing,2078.8,Pune,UPI
C0200,2025-03-30,Electronics,2224.94,Mumbai,UPI
C0132,2025-03-30,Clothing,855.9,Pune,Cash
C0105,2025-03-31,Beauty,2212.06,Pune,Debit Card
C0007,2025-03-31,Electronics,1240.84,Aurangabad,Credit Card
C0073,2025-03-31,Clothing,5882.5,Nashik,Credit Card
C0173,2025-04-02,Electronics,1864.49,Nashik,Debit Card
C0152,2025-04-02,Sports,1163.89,Nagpur,Net Banking
C0092,2025-04-03,Sports,3467.38,Delhi,UPI
C0175,2025-04-05,Home,2188.77,Nagpur,UPI
C0172,2025-04-05,Beauty,1138.48,Nashik,Debit Card
C0187,2025-04-06,Clothing,1473.66,Delhi,Debit Card
C0123,2025-04-07,Electronics,1370.28,Pune,UPI
C0022,2025-04-08,Home,710.66,Thane,Net Banking
C0057,2025-04-08,Clothing,1471.23,Pune,UPI
C0118,2025-04-09,Electronics,600.14,Pune,Net Banking
C0189,2025-04-09,Beauty,1677.11,Delhi,Cash
C0109,2025-04-10,Home,1019.01,Bengaluru,Debit Card
C0001,2025-04-12,Clothing,2096.6,Pune,UPI
C0195,2025-04-12,Sports,1995.35,Delhi,Credit Card
C0093,2025-04-12,Electronics,877.67,Pune,Net Banking
C0019,2025-04-12,Beauty,2066.75,Pune,UPI
C0200,2025-04-13,Clothing,316.63,Mumbai,Credit Card
C0015,2025-04-14,Electronics,555.84,Pune,Credit Card
C0131,2025-04-16,Beauty,1731.69,Thane,Credit Card
C0187,2025-04-16,Home,3317.53,Delhi,Debit Card
C0029,2025-04-16,Clothing,2842.58,Bengaluru,Credit Card
C0137,2025-04-17,Beauty,3135.3,Mumbai,UPI
C0004,2025-04-17,Home,5005.95,Aurangabad,UPI
C0099,2025-04-18,Beauty,7327.72,Pune,UPI
C0038,2025-04-18,Home,2624.09,Thane,UPI
C0086,2025-04-18,Electronics,806.28,Pune,UPI
C0166,2025-04-19,Home,3784.9,Aurangabad,Credit Card
C0173,2025-04-21,Clothing,3618.78,Pune,Debit Card
C0093,2025-04-23,Clothing,5035.05,Nashik,Credit Card
C0172,2025-04-23,Clothing,2894.17,Thane,UPI
C0131,2025-04-23,Beauty,2812.07,Bengaluru,Debit Card
C0176,2025-04-23,Beauty,2976.7,Delhi,UPI
C0034,2025-04-24,Beauty,1411.88,Nagpur,Credit Card
C0160,2025-04-24,Sports,1742.08,Nashik,Credit Card
C0100,2025-04-24,Clothing,2126.38,Mumbai,Credit Card
C0099,2025-04-25,Beauty,5528.17,Nagpur,Cash
C0096,2025-04-25,Clothing,2255.89,Bengaluru,Credit Card
C0148,2025-04-26,Sports,1793.93,Nagpur,UPI
C0001,2025-04-27,Clothing,2349.52,Nashik,Credit Card
C0029,2025-04-27,Clothing,1826.47,Bengaluru,UPI
C0157,2025-04-27,Home,1620.0,Pune,Credit Card
C0075,2025-04-27,Home,3099.04,Nashik,Cash
C0022,2025-04-28,Electronics,2055.65,Thane,UPI
C0068,2025-04-28,Home,1225.42,Aurangabad,Net Banking
C0108,2025-04-28,Clothing,1043.15,Bengaluru,UPI
C0162,2025-04-28,Home,2288.39,Mumbai,Credit Card
C0123,2025-04-29,Beauty,1302.95,Nashik,Cash
C0007,2025-04-29,Electronics,2923.01,Aurangabad,Debit Card
C0074,2025-04-29,Beauty,1752.35,Bengaluru,Debit Card
C0195,2025-04-30,Beauty,3596.07,Thane,Net Banking
C0113,2025-04-30,Clothing,2208.09,Thane,UPI
C0022,2025-04-30,Home,1634.99,Delhi,Credit Card
C0173,2025-05-01,Clothing,2704.3,Thane,UPI
C0167,2025-05-02,Electronics,908.34,Nagpur,Net Banking
C0003,2025-05-02,Clothing,1339.13,Delhi,Debit Card
C0085,2025-05-04,Clothing,2598.15,Aurangabad,UPI
C0008,2025-05-04,Electronics,2182.46,Nashik,UPI
C0066,2025-05-06,Electronics,3285.58,Pune,Debit Card
C0049,2025-05-07,Clothing,920.16,Bengaluru,Debit Card
C0171,2025-05-07,Home,978.12,Pune,UPI
C0112,2025-05-08,Beauty,2405.73,Bengaluru,Credit Card
C0009,2025-05-08,Sports,3839.54,Aurangabad,UPI
C0106,2025-05-09,Sports,1474.55,Mumbai,Credit Card
C0161,2025-05-10,Clothing,3899.49,Delhi,Debit Card
C0193,2025-05-10,Electronics,5185.58,Bengaluru,Credit Card
C0048,2025-05-10,Beauty,4587.26,Nagpur,Credit Card
C0052,2025-05-10,Sports,1208.41,Bengaluru,Debit Card
C0046,2025-05-11,Clothing,602.1,Pune,Credit Card
C0036,2025-05-11,Clothing,4380.03,Thane,UPI
C0048,2025-05-12,Home,5295.59,Bengaluru,Net Banking
C0145,2025-05-13,Beauty,3475.89,Delhi,Net Banking
C0143,2025-05-13,Beauty,3814.85,Mumbai,Credit Card
C0067,2025-05-13,Electronics,4674.92,Pune,UPI
C0073,2025-05-13,Clothing,2759.91,Nagpur,Debit Card
C0137,2025-05-14,Sports,617.64,Nashik,UPI
C0050,2025-05-17,Clothing,2197.91,Nagpur,Credit Card
C0150,2025-05-17,Electronics,4825.65,Thane,UPI
C0044,2025-05-17,Beauty,1690.93,Delhi,Credit Card
C0137,2025-05-17,Sports,1812.39,Aurangabad,UPI
C0132,2025-05-19,Clothing,962.68,Thane,UPI
C0052,2025-05-20,Home,4376.72,Pune,Credit Card
C0051,2025-05-20,Home,2984.15,Delhi,UPI
C0150,2025-05-21,Electronics,2189.66,Aurangabad,UPI
C0130,2025-05-21,Clothing,654.67,Nagpur,Debit Card
C0025,2025-05-21,Home,942.84,Mumbai,Debit Card
C0096,2025-05-21,Clothing,243.87,Mumbai,Net Banking
C0047,2025-05-21,Beauty,1542.12,Aurangabad,Net Banking
C0006,2025-05-22,Beauty,5632.57,Nagpur,UPI
C0001,2025-05-23,Clothing,2110.38,Nagpur,Net Banking
C0188,2025-05-23,Beauty,3848.62,Nashik,UPI
C0092,2025-05-23,Sports,1686.82,Thane,Credit Card
C0130,2025-05-24,Clothing,3612.68,Delhi,Credit Card
C0014,2025-05-24,Beauty,1449.93,Mumbai,Debit Card
C0189,2025-05-25,Electronics,5179.07,Thane,UPI
C0098,2025-05-25,Sports,1135.35,Aurangabad,Credit Card
C0124,2025-05-25,Clothing,192.31,Mumbai,Debit Card
C0006,2025-05-25,Clothing,3253.22,Nashik,Credit Card
C0084,2025-05-26,Electronics,3652.88,Delhi,UPI
C0094,2025-05-26,Sports,4093.34,Mumbai,Debit Card
C0115,2025-05-27,Sports,4406.5,Bengaluru,Credit Card
C0104,2025-05-27,Clothing,2065.17,Bengaluru,Credit Card
C0128,2025-05-27,Electronics,2653.2,Aurangabad,Credit Card
C0144,2025-05-27,Beauty,1368.06,Pune,Credit Card
C0180,2025-05-28,Electronics,1896.81,Thane,Net Banking
C0027,2025-05-28,Beauty,2352.97,Pune,Net Banking
C0195,2025-05-29,Sports,473.74,Aurangabad,Cash
C0039,2025-05-31,Home,897.44,Delhi,UPI
C0091,2025-05-31,Clothing,977.09,Mumbai,UPI
C0155,2025-06-01,Beauty,2467.65,Bengaluru,Net Banking
C0060,2025-06-01,Electronics,3085.6,Mumbai,UPI
C0034,2025-06-01,Electronics,1969.26,Mumbai,UPI
C0019,2025-06-02,Beauty,1677.13,Delhi,Credit Card
C0170,2025-06-02,Electronics,2482.38,Thane,UPI
C0110,2025-06-02,Clothing,2431.0,Aurangabad,Debit Card
C0197,2025-06-03,Home,3398.5,Nashik,UPI
C0045,2025-06-03,Beauty,2534.39,Mumbai,Debit Card
C0008,2025-06-03,Clothing,191.69,Nashik,Credit Card
C0092,2025-06-05,Sports,738.15,Nashik,UPI
C0152,2025-06-05,Clothing,3615.5,Pune,Debit Card
C0109,2025-06-05,Beauty,3646.45,Aurangabad,UPI
C0028,2025-06-06,Sports,1793.71,Delhi,Credit Card
C0037,2025-06-06,Beauty,2669.19,Nashik,Net Banking
C0172,2025-06-06,Sports,2595.18,Nagpur,UPI
C0163,2025-06-06,Electronics,3707.45,Aurangabad,UPI
C0037,2025-06-07,Home,295.6,Thane,Cash
C0104,2025-06-08,Beauty,1931.05,Delhi,Net Banking
C0186,2025-06-08,Clothing,1207.02,Bengaluru,UPI
C0033,2025-06-08,Clothing,451.29,Thane,UPI
C0013,2025-06-08,Beauty,1014.86,Delhi,UPI
C0015,2025-06-08,Electronics,755.44,Pune,UPI
C0069,2025-06-09,Beauty,5079.48,Pune,Credit Card
C0008,2025-06-10,Beauty,1069.08,Nashik,Debit Card
C0062,2025-06-10,Electronics,1986.06,Pune,Credit Card
C0098,2025-06-10,Beauty,1603.91,Pune,UPI
C0133,2025-06-10,Electronics,875.8,Delhi,UPI
C0184,2025-06-11,Electronics,3082.25,Nashik,Net Banking
C0109,2025-06-11,Beauty,2294.23,Aurangabad,Net Banking
C0181,2025-06-12,Sports,70.88,Thane,UPI
C0129,2025-06-12,Clothing,2020.13,Delhi,Debit Card
C0193,2025-06-14,Electronics,829.28,Thane,UPI
C0146,2025-06-14,Beauty,2908.81,Bengaluru,UPI
C0199,2025-06-14,Electronics,1953.56,Nashik,UPI
C0132,2025-06-15,Home,539.34,Aurangabad,Credit Card
C0127,2025-06-15,Home,4497.59,Aurangabad,Net Banking
C0189,2025-06-17,Electronics,660.19,Thane,Credit Card
C0084,2025-06-17,Clothing,4907.07,Aurangabad,Credit Card
C0130,2025-06-17,Clothing,1307.44,Pune,UPI
C0029,2025-06-19,Electronics,1433.39,Delhi,UPI
C0189,2025-06-19,Beauty,2150.79,Nashik,UPI
C0186,2025-06-19,Home,905.49,Nagpur,UPI
C0173,2025-06-20,Clothing,1805.86,Thane,Debit Card
C0124,2025-06-21,Electronics,769.92,Nashik,Credit Card
C0090,2025-06-21,Clothing,1607.31,Delhi,UPI
C0044,2025-06-21,Clothing,4881.22,Delhi,UPI
C0190,2025-06-22,Home,2357.15,Pune,Credit Card
C0138,2025-06-24,Clothing,3336.85,Delhi,UPI
C0126,2025-06-24,Clothing,920.49,Pune,Credit Card
C0101,2025-06-25,Clothing,2053.78,Delhi,UPI
C0165,2025-06-26,Electronics,2088.08,Thane,Net Banking
C0069,2025-06-27,Electronics,2756.05,Thane,Net Banking
C0082,2025-06-27,Clothing,511.6,Bengaluru,UPI
C0071,2025-06-28,Clothing,2748.32,Pune,Credit Card
C0103,2025-06-28,Electronics,1575.56,Thane,Debit Card
C0155,2025-06-29,Beauty,1690.66,Mumbai,Credit Card
C0198,2025-07-01,Home,567.72,Thane,Credit Card
C0052,2025-07-01,Clothing,114.04,Nashik,Net Banking
C0062,2025-07-01,Clothing,2186.87,Mumbai,UPI
C0020,2025-07-02,Home,1096.54,Thane,Debit Card
C0038,2025-07-03,Home,2528.41,Bengaluru,Credit Card
C0103,2025-07-04,Clothing,6013.83,Thane,UPI
C0115,2025-07-05,Sports,1806.59,Bengaluru,Credit Card
C0187,2025-07-06,Home,969.16,Thane,Net Banking
C0144,2025-07-06,Sports,672.39,Mumbai,UPI
C0135,2025-07-07,Sports,2398.3,Mumbai,UPI
C0171,2025-07-10,Beauty,2223.27,Nagpur,Net Banking
C0096,2025-07-11,Home,846.82,Nagpur,UPI
C0184,2025-07-12,Beauty,1599.1,Nashik,Credit Card
C0170,2025-07-13,Clothing,1278.2,Pune,Debit Card
C0130,2025-07-13,Clothing,594.09,Nagpur,UPI
C0061,2025-07-13,Beauty,913.55,Aurangabad,Credit Card
C0086,2025-07-14,Electronics,1987.06,Nashik,UPI
C0135,2025-07-15,Home,1940.48,Aurangabad,UPI
C0192,2025-07-15,Clothing,2753.3,Delhi,Credit Card
C0065,2025-07-17,Home,1353.9,Thane,Net Banking
C0012,2025-07-17,Beauty,1562.11,Pune,UPI
C0074,2025-07-18,Electronics,819.61,Pune,Debit Card
C0058,2025-07-19,Electronics,1516.57,Nashik,UPI
C0192,2025-07-20,Clothing,543.58,Mumbai,Net Banking
C0161,2025-07-20,Beauty,1341.38,Nagpur,Debit Card
C0084,2025-07-21,Clothing,1861.45,Pune,UPI
C0190,2025-07-23,Home,427.08,Pune,UPI
C0057,2025-07-25,Electronics,993.17,Pune,Debit Card
C0137,2025-07-25,Clothing,1167.08,Nashik,Cash
C0164,2025-07-26,Beauty,1546.2,Pune,Net Banking
C0164,2025-07-27,Home,2231.7,Pune,Debit Card
C0142,2025-07-27,Sports,294.34,Bengaluru,Debit Card
C0147,2025-07-28,Clothing,985.64,Bengaluru,Cash
C0052,2025-07-29,Home,1729.03,Pune,UPI
C0027,2025-07-29,Electronics,2022.31,Thane,Debit Card
C0183,2025-07-29,Electronics,859.62,Mumbai,Net Banking
C0182,2025-08-02,Sports,653.78,Nashik,Credit Card
C0131,2025-08-03,Sports,2489.36,Pune,Cash
C0192,2025-08-04,Clothing,3755.1,Nashik,Debit Card
C0002,2025-08-04,Home,1506.76,Thane,Credit Card
C0085,2025-08-04,Electronics,3247.11,Delhi,Debit Card
C0067,2025-08-04,Sports,1577.77,Mumbai,UPI
C0151,2025-08-04,Electronics,4107.36,Aurangabad,Debit Card
C0192,2025-08-05,Electronics,1709.7,Pune,Credit Card
C0075,2025-08-05,Sports,1484.84,Pune,UPI
C0063,2025-08-06,Clothing,3504.61,Pune,UPI
C0129,2025-08-06,Home,1706.18,Pune,UPI
C0017,2025-08-06,Beauty,5776.7,Thane,UPI
C0118,2025-08-08,Clothing,1472.87,Nashik,UPI
C0067,2025-08-08,Beauty,1181.42,Pune,Debit Card
C0078,2025-08-09,Clothing,1033.29,Mumbai,UPI
C0138,2025-08-10,Electronics,1450.83,Pune,UPI
C0198,2025-08-10,Electronics,3072.08,Thane,Debit Card
C0192,2025-08-11,Electronics,1479.04,Nashik,Credit Card
C0161,2025-08-11,Clothing,1114.98,Nashik,UPI
C0115,2025-08-11,Sports,551.49,Aurangabad,Credit Card
C0130,2025-08-11,Clothing,1734.02,Delhi,Debit Card
C0039,2025-08-11,Sports,892.3,Nashik,Credit Card
C0081,2025-08-12,Electronics,3425.82,Delhi,UPI
C0120,2025-08-12,Beauty,275.54,Aurangabad,UPI
C0138,2025-08-12,Electronics,2007.63,Pune,Net Banking
C0058,2025-08-13,Electronics,3552.4,Aurangabad,UPI
C0055,2025-08-13,Home,4494.09,Bengaluru,UPI
C0041,2025-08-13,Sports,2854.76,Mumbai,Debit Card
C0176,2025-08-14,Electronics,3080.51,Pune,Debit Card
C0140,2025-08-14,Home,4764.83,Aurangabad,Credit Card
C0113,2025-08-14,Home,1502.84,Nashik,Net Banking
C0063,2025-08-14,Electronics,2112.64,Aurangabad,UPI
C0115,2025-08-15,Beauty,789.44,Pune,Credit Card
C0105,2025-08-15,Electronics,1666.89,Pune,UPI
C0048,2025-08-16,Home,1442.09,Mumbai,Net Banking
C0070,2025-08-17,Clothing,1613.01,Pune,Debit Card
C0006,2025-08-17,Home,2337.8,Nagpur,Credit Card
C0158,2025-08-17,Electronics,3460.21,Delhi,Debit Card
C0004,2025-08-17,Beauty,6341.28,Thane,UPI
C0149,2025-08-17,Beauty,2675.18,Nashik,Net Banking
C0027,2025-08-19,Clothing,3538.35,Mumbai,Debit Card
C0081,2025-08-19,Beauty,1672.15,Bengaluru,UPI
C0157,2025-08-21,Clothing,777.12,Mumbai,Net Banking
C0154,2025-08-21,Sports,1156.65,Mumbai,UPI
C0116,2025-08-23,Electronics,4419.22,Nagpur,Debit Card
C0175,2025-08-24,Clothing,734.7,Bengaluru,Debit Card
C0122,2025-08-24,Electronics,2056.44,Delhi,UPI
C0153,2025-08-25,Beauty,1925.59,Aurangabad,UPI
C0152,2025-08-25,Home,4684.05,Nagpur,Debit Card
C0187,2025-08-27,Clothing,5014.93,Bengaluru,UPI
C0188,2025-08-27,Sports,5254.69,Pune,UPI
C0119,2025-08-29,Beauty,1734.91,Nagpur,Credit Card
C0141,2025-08-30,Clothing,2417.38,Pune,UPI
C0151,2025-08-30,Home,449.55,Aurangabad,Debit Card
C0099,2025-08-30,Beauty,1141.05,Nashik,Debit Card
C0117,2025-08-31,Sports,1724.01,Aurangabad,Debit Card
C0053,2025-08-31,Home,2783.57,Nashik,UPI
C0118,2025-08-31,Beauty,757.7,Thane,UPI
C0092,2025-09-01,Electronics,1717.6,Aurangabad,UPI
C0021,2025-09-01,Beauty,4952.72,Mumbai,Net Banking
C0070,2025-09-02,Beauty,2288.72,Bengaluru,Credit Card
C0197,2025-09-03,Clothing,2115.09,Mumbai,Credit Card
C0161,2025-09-07,Clothing,1620.03,Nagpur,UPI
C0130,2025-09-07,Beauty,3679.55,Thane,Debit Card
C0072,2025-09-08,Home,3060.84,Nagpur,UPI
C0125,2025-09-08,Electronics,303.93,Bengaluru,UPI
C0061,2025-09-08,Home,3120.14,Bengaluru,UPI
C0142,2025-09-08,Electronics,541.74,Aurangabad,Net Banking
C0033,2025-09-08,Beauty,2152.06,Pune,Debit Card
C0103,2025-09-11,Home,3114.81,Nagpur,Credit Card
C0028,2025-09-11,Sports,1054.61,Aurangabad,Debit Card
C0060,2025-09-13,Clothing,290.83,Bengaluru,Credit Card
C0144,2025-09-14,Electronics,804.42,Nashik,UPI
C0083,2025-09-14,Home,2002.88,Aurangabad,UPI
C0046,2025-09-15,Electronics,1721.37,Bengaluru,UPI
C0122,2025-09-16,Beauty,2666.42,Nagpur,UPI
C0060,2025-09-16,Electronics,2193.27,Pune,UPI
C0009,2025-09-18,Clothing,2959.84,Pune,UPI
C0055,2025-09-18,Electronics,694.54,Delhi,UPI
C0197,2025-09-18,Home,1702.09,Pune,Credit Card
C0099,2025-09-18,Clothing,2957.2,Pune,Net Banking
C0112,2025-09-18,Electronics,1349.54,Aurangabad,UPI
C0080,2025-09-19,Clothing,2324.33,Thane,Net Banking
C0107,2025-09-20,Electronics,921.93,Bengaluru,Debit Card
